,Data,UF-Cidade,Temp. Min.,Temp. Max.,Nasc. Sol,Por Sol,% Chuva,IUV,UF,Cidade
0,2019-12-19,SP/São-Paulo,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São Paulo
1,2019-12-19,RJ/Rio-de-Janeiro,23,28,0 days 05:03:00.000000000,0 days 18:36:00.000000000,87,13,RJ,Rio de Janeiro
2,2019-12-19,BA/Salvador,24,31,0 days 05:04:00.000000000,0 days 17:57:00.000000000,5,12,BA,Salvador
3,2019-12-19,DF/Brasília,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,DF,Brasília
4,2019-12-19,CE/Fortaleza,26,32,0 days 05:20:00.000000000,0 days 17:41:00.000000000,90,11,CE,Fortaleza
5,2019-12-19,MG/Belo-Horizonte,22,32,0 days 05:12:00.000000000,0 days 18:32:00.000000000,87,13,MG,Belo Horizonte
6,2019-12-19,AM/Manaus,24,33,0 days 06:48:00.000000000,0 days 19:06:00.000000000,80,12,AM,Manaus
7,2019-12-19,PR/Curitiba,15,21,0 days 05:22:00.000000000,0 days 19:05:00.000000000,80,13,PR,Curitiba
8,2019-12-19,PE/Recife,24,31,0 days 04:58:00.000000000,0 days 17:34:00.000000000,30,12,PE,Recife
9,2019-12-19,RS/Porto-Alegre,19,31,0 days 05:19:00.000000000,0 days 19:24:00.000000000,5,12,RS,Porto Alegre
10,2019-12-19,PA/Belém,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PA,Belém
11,2019-12-19,GO/Goiânia,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Goiânia
12,2019-12-19,SP/Guarulhos,19,23,0 days 05:15:00.000000000,0 days 18:50:00.000000000,73,13,SP,Guarulhos
13,2019-12-19,SP/Campinas,19,25,0 days 05:18:00.000000000,0 days 18:51:00.000000000,87,13,SP,Campinas
14,2019-12-19,MA/São-Luís,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MA,São Luís
15,2019-12-19,RJ/São-Gonçalo,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,São Gonçalo
16,2019-12-19,AL/Maceió,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,AL,Maceió
17,2019-12-19,RJ/Duque-de-Caxias,23,28,0 days 05:04:00.000000000,0 days 18:36:00.000000000,87,13,RJ,Duque de Caxias
18,2019-12-19,RN/Natal,26,30,0 days 05:04:00.000000000,0 days 17:31:00.000000000,30,12,RN,Natal
19,2019-12-19,MS/Campo-Grande,20,27,0 days 05:54:00.000000000,0 days 19:16:00.000000000,80,13,MS,Campo Grande
20,2019-12-19,PI/Teresina,23,38,0 days 05:35:00.000000000,0 days 18:00:00.000000000,30,11,PI,Teresina
21,2019-12-19,SP/São-Bernardo-do-Campo,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São Bernardo do Campo
22,2019-12-19,RJ/Nova-Iguaçu,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Nova Iguaçu
23,2019-12-19,PB/João-Pessoa,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PB,João Pessoa
24,2019-12-19,SP/Santo-André,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Santo André
25,2019-12-19,SP/Osasco,18,23,0 days 05:16:00.000000000,0 days 18:51:00.000000000,73,13,SP,Osasco
26,2019-12-19,SP/São-José-dos-Campos,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São José dos Campos
27,2019-12-19,PE/Jaboatão-dos-Guararapes,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PE,Jaboatão dos Guararapes
28,2019-12-19,SP/Ribeirão-Preto,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Ribeirão Preto
29,2019-12-19,MG/Uberlândia,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MG,Uberlândia
30,2019-12-19,MG/Contagem,22,32,0 days 05:13:00.000000000,0 days 18:33:00.000000000,87,13,MG,Contagem
31,2019-12-19,SP/Sorocaba,19,25,0 days 05:19:00.000000000,0 days 18:54:00.000000000,80,13,SP,Sorocaba
32,2019-12-19,SE/Aracaju,25,31,0 days 05:02:00.000000000,0 days 17:48:00.000000000,5,12,SE,Aracaju
33,2019-12-19,BA/Feira-de-Santana,18,32,0 days 05:07:00.000000000,0 days 17:58:00.000000000,5,12,BA,Feira de Santana
34,2019-12-19,MT/Cuiabá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,MT,Cuiabá
35,2019-12-19,SC/Joinville,19,26,0 days 05:18:00.000000000,0 days 19:06:00.000000000,90,12,SC,Joinville
36,2019-12-19,MG/Juiz-de-Fora,18,25,0 days 05:06:00.000000000,0 days 18:34:00.000000000,90,13,MG,Juiz de Fora
37,2019-12-19,PR/Londrina,18,26,0 days 05:34:00.000000000,0 days 19:08:00.000000000,80,13,PR,Londrina
38,2019-12-19,GO/Aparecida-de-Goiânia,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Aparecida de Goiânia
39,2019-12-19,PA/Ananindeua,23,34,0 days 06:04:00.000000000,0 days 18:16:00.000000000,87,11,PA,Ananindeua
40,2019-12-19,RJ/Niterói,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,Niterói
41,2019-12-19,RO/Porto-Velho,23,32,0 days 06:53:00.000000000,0 days 19:31:00.000000000,80,13,RO,Porto Velho
42,2019-12-19,RJ/Campos-dos-Goytacazes,23,32,0 days 04:58:00.000000000,0 days 18:26:00.000000000,80,13,RJ,Campos dos Goytacazes
43,2019-12-19,RJ/Belford-Roxo,23,29,0 days 05:04:00.000000000,0 days 18:36:00.000000000,87,13,RJ,Belford Roxo
44,2019-12-19,ES/Serra,25,31,0 days 04:57:00.000000000,0 days 18:18:00.000000000,5,13,ES,Serra
45,2019-12-19,RS/Caxias-do-Sul,15,28,0 days 05:21:00.000000000,0 days 19:22:00.000000000,5,12,RS,Caxias do Sul
46,2019-12-19,ES/Vila-Velha,25,31,0 days 04:57:00.000000000,0 days 18:19:00.000000000,5,13,ES,Vila Velha
47,2019-12-19,SC/Florianópolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SC,Florianópolis
48,2019-12-19,RJ/São-João-de-Meriti,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,RJ,São João de Meriti
49,2019-12-19,SP/Mauá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Mauá
50,2019-12-19,AP/Macapá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,AP,Macapá
51,2019-12-19,SP/São-José-do-Rio-Preto,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São José do Rio Preto
52,2019-12-19,SP/Santos,22,25,0 days 05:13:00.000000000,0 days 18:50:00.000000000,80,13,SP,Santos
53,2019-12-19,SP/Mogi-das-Cruzes,20,23,0 days 05:14:00.000000000,0 days 18:49:00.000000000,80,13,SP,Mogi das Cruzes
54,2019-12-19,MG/Betim,22,32,0 days 05:13:00.000000000,0 days 18:34:00.000000000,87,13,MG,Betim
55,2019-12-19,SP/Diadema,19,23,0 days 05:15:00.000000000,0 days 18:51:00.000000000,73,13,SP,Diadema
56,2019-12-19,PB/Campina-Grande,21,31,0 days 05:04:00.000000000,0 days 17:36:00.000000000,5,12,PB,Campina Grande
57,2019-12-19,SP/Jundiaí,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Jundiaí
58,2019-12-19,PR/Maringá,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,PR,Maringá
59,2019-12-19,MG/Montes-Claros,20,33,0 days 05:18:00.000000000,0 days 18:26:00.000000000,5,13,MG,Montes Claros
60,2019-12-19,SP/Carapicuíba,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,Carapicuíba
61,2019-12-19,PE/Olinda,25,31,0 days 04:58:00.000000000,0 days 17:34:00.000000000,30,12,PE,Olinda
62,2019-12-19,SP/Piracicaba,19,25,0 days 05:21:00.000000000,0 days 18:53:00.000000000,80,13,SP,Piracicaba
63,2019-12-19,ES/Cariacica,25,31,0 days 04:57:00.000000000,0 days 18:19:00.000000000,5,13,ES,Cariacica
64,2019-12-19,SP/Bauru,20,28,0 days 05:28:00.000000000,0 days 18:58:00.000000000,80,13,SP,Bauru
65,2019-12-19,AC/Rio-Branco,22,29,0 days 07:07:00.000000000,0 days 19:49:00.000000000,80,13,AC,Rio Branco
66,2019-12-19,GO/Anápolis,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,GO,Anápolis
67,2019-12-19,SP/São-Vicente,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,SP,São Vicente
68,2019-12-19,ES/Vitória,20,25,0 days 05:36:00.000000000,0 days 18:40:00.000000000,90,13,ES,Vitória
